rok,miejscowość,data,pm25_dobowe
2019,Katowice,2019-12-13,50.77114125
2019,Katowice,2019-12-14,8.962457083333334
2019,Katowice,2019-12-15,9.65345625
2019,Katowice,2019-12-16,36.1012
2019,Katowice,2019-12-17,79.19126666666666
2019,Katowice,2019-12-18,41.165416666666665
2019,Katowice,2019-12-19,70.23782916666666
2019,Katowice,2019-12-20,13.002237916666667
2019,Katowice,2019-12-21,23.679057083333333
2019,Katowice,2019-12-22,34.01902916666666
2019,Katowice,2019-12-23,27.15867833333333
2019,Katowice,2019-12-24,19.9637725
2019,Katowice,2019-12-25,23.462866666666667
2019,Katowice,2019-12-26,16.964896666666665
2019,Katowice,2019-12-27,16.958615833333333
2019,Katowice,2019-12-28,9.80915625
2019,Katowice,2019-12-29,20.45066291666667
2019,Katowice,2019-12-30,34.2317
2019,Katowice,2019-12-31,15.449501249999999
2019,Warszawa,2019-01-01,15.242700391666666
2019,Warszawa,2019-01-02,6.558071769230769
2019,Warszawa,2019-01-03,7.886557486111111
2019,Warszawa,2019-01-04,20.76977937062937
2019,Warszawa,2019-01-05,10.826836294964028
2019,Warszawa,2019-01-06,16.336312680555555
2019,Warszawa,2019-01-07,47.47196588888889
2019,Warszawa,2019-01-08,39.64068021212121
2019,Warszawa,2019-01-09,39.17488200892858
2019,Warszawa,2019-01-10,41.49971630370371
2019,Warszawa,2019-01-11,39.40466111805555
2019,Warszawa,2019-01-12,22.14791361111111
2019,Warszawa,2019-01-13,17.881796076388888
2019,Warszawa,2019-01-14,7.5999166875
2019,Warszawa,2019-01-15,12.358589479166666
2019,Warszawa,2019-01-16,17.484613541666665
2019,Warszawa,2019-01-17,22.7975248125
2019,Warszawa,2019-01-18,13.1357738125
2019,Warszawa,2019-01-19,35.75742910416667
2019,Warszawa,2019-01-20,61.833174736111104
2019,Warszawa,2019-01-21,40.99440479166667
2019,Warszawa,2019-01-22,43.013257552447556
2019,Warszawa,2019-01-23,33.72005973049646
2019,Warszawa,2019-01-24,20.266351685314685
2019,Warszawa,2019-01-25,24.269019139860138
2019,Warszawa,2019-01-26,56.46273475
2019,Warszawa,2019-01-27,62.41523859027778
2019,Warszawa,2019-01-28,43.43934758333333
2019,Warszawa,2019-01-29,35.89229260416667
2019,Warszawa,2019-01-30,38.61628885416667
2019,Warszawa,2019-01-31,33.68863177777777
2019,Warszawa,2019-02-01,35.919505276923076
2019,Warszawa,2019-02-02,18.620423784722224
2019,Warszawa,2019-02-03,44.476869638888886
2019,Warszawa,2019-02-04,16.714693395833333
2019,Warszawa,2019-02-05,27.059863256944443
2019,Warszawa,2019-02-06,35.494030368055554
2019,Warszawa,2019-02-07,33.75182452083333
2019,Warszawa,2019-02-08,38.550374454545455
2019,Warszawa,2019-02-09,38.752710638888885
2019,Warszawa,2019-02-10,24.253168958333333
2019,Warszawa,2019-02-11,18.611349159722224
2019,Warszawa,2019-02-12,9.875676256944445
2019,Warszawa,2019-02-13,21.323253875
2019,Warszawa,2019-02-14,19.934061888888888
2019,Warszawa,2019-02-15,39.45891044444445
2019,Warszawa,2019-02-16,33.970443368055555
2019,Warszawa,2019-02-17,33.58703779166667
2019,Warszawa,2019-02-18,44.53775092307692
2019,Warszawa,2019-02-19,49.19835875
2019,Warszawa,2019-02-20,14.411884854166667
2019,Warszawa,2019-02-21,24.149652472222222
2019,Warszawa,2019-02-22,7.860672552447552
2019,Warszawa,2019-02-23,18.43664357638889
2019,Warszawa,2019-02-24,34.16501034722222
2019,Warszawa,2019-02-25,41.43163025
2019,Warszawa,2019-02-26,21.147070520833335
2019,Warszawa,2019-02-27,20.257405692307692
2019,Warszawa,2019-02-28,32.39738108333333
2019,Warszawa,2019-03-01,21.95181140277778
2019,Warszawa,2019-03-02,21.968850381944446
2019,Warszawa,2019-03-03,38.000089368055555
2019,Warszawa,2019-03-04,11.909279506944445
2019,Warszawa,2019-03-05,10.368384194444443
2019,Warszawa,2019-03-06,20.380988020833332
2019,Warszawa,2019-03-07,22.36457654861111
2019,Warszawa,2019-03-08,10.623343940298508
2019,Warszawa,2019-03-09,13.768267775
2019,Warszawa,2019-03-10,10.016820237288135
2019,Warszawa,2019-03-11,13.298752607407407
2019,Warszawa,2019-03-12,20.69796271527778
2019,Warszawa,2019-03-13,27.802002618055557
2019,Warszawa,2019-03-14,21.76951185271318
2019,Warszawa,2019-03-15,15.346233843283583
2019,Warszawa,2019-03-16,10.25636688888889
2019,Warszawa,2019-03-17,18.388303631944446
2019,Warszawa,2019-03-18,10.797500076923077
2019,Warszawa,2019-03-19,20.267512708333335
2019,Warszawa,2019-03-20,26.621933014492754
2019,Warszawa,2019-03-21,24.196862069230768
2019,Warszawa,2019-03-22,22.091731708333334
2019,Warszawa,2019-03-23,31.635897243055556
2019,Warszawa,2019-03-24,19.73589547916667
2019,Warszawa,2019-03-25,27.71278173611111
2019,Warszawa,2019-03-26,16.553944472222224
2019,Warszawa,2019-03-27,11.626614517482517
2019,Warszawa,2019-03-28,20.07977529787234
2019,Warszawa,2019-03-29,24.660434819444443
2019,Warszawa,2019-03-30,34.06431988888889
2019,Warszawa,2019-03-31,34.70718872535211
2019,Warszawa,2019-04-01,11.06308797887324
2019,Warszawa,2019-04-02,11.562243465277778
2019,Warszawa,2019-04-03,19.211173471830985
2019,Warszawa,2019-04-04,26.72344354861111
2019,Warszawa,2019-04-05,26.887375694444444
2019,Warszawa,2019-04-06,26.627792496453903
2019,Warszawa,2019-04-07,34.87008219444445
2019,Warszawa,2019-04-08,44.33104686111111
2019,Warszawa,2019-04-09,18.43078686713287
2019,Warszawa,2019-04-10,15.911748854166667
2019,Warszawa,2019-04-11,19.90626023076923
2019,Warszawa,2019-04-12,19.044558125
2019,Warszawa,2019-04-13,20.65877040277778
2019,Warszawa,2019-04-14,13.918013875
2019,Warszawa,2019-04-15,15.818254833333334
2019,Warszawa,2019-04-16,19.492924826388887
2019,Warszawa,2019-04-17,19.837085895833333
2019,Warszawa,2019-04-18,24.99033235
2019,Warszawa,2019-04-19,18.103705479166667
2019,Warszawa,2019-04-20,15.173305444444445
2019,Warszawa,2019-04-21,13.709114715277778
2019,Warszawa,2019-04-22,18.065198354166668
2019,Warszawa,2019-04-23,18.089702944444443
2019,Warszawa,2019-04-24,17.181769173611112
2019,Warszawa,2019-04-25,21.080398944444443
2019,Warszawa,2019-04-26,25.17259625
2019,Warszawa,2019-04-27,28.496301825174825
2019,Warszawa,2019-04-28,15.466545937500001
2019,Warszawa,2019-04-29,28.738560395833336
2019,Warszawa,2019-04-30,23.368921868055555
2019,Warszawa,2019-05-01,16.047505854166666
2019,Warszawa,2019-05-02,18.889775979166664
2019,Warszawa,2019-05-03,11.6921580625
